brand;name;id;salePriceU;priceU;sale;rating;feedbacks;supplier;supplierRating;link
Kitchen Home;Чайник из жаропрочного стекла 900мл;17902726;268.0;1116.0;75;4.8;211706;Kitchen Home;4.7;https://www.wildberries.ru/catalog/17902726/detail.aspx
TIME.;Чайник заварочный стеклянный - заварник 900мл;61122886;252.0;900.0;72;4.7;42850;Time.;4.7;https://www.wildberries.ru/catalog/61122886/detail.aspx
Inhouse;Чайник электрический стеклянный IEK-1725 2200 Вт, 1.7 л;168952794;1637.0;4198.0;61;4.8;2511;INHOUSE;4.8;https://www.wildberries.ru/catalog/168952794/detail.aspx
Merry Berry;Чайник заварочный стеклянный прозрачный с ситечком 900 мл;60594018;252.0;742.0;66;4.6;13464;Merry Berry;4.7;https://www.wildberries.ru/catalog/60594018/detail.aspx
Berry.;Чайник заварочный стеклянный 900мл заварник;60598392;252.0;664.0;62;4.7;14564;Berry.;4.7;https://www.wildberries.ru/catalog/60598392/detail.aspx
My Beauty Home;Чайник заварочный стеклянный 900 мл;25993220;271.0;1269.0;78;4.7;132296;My Beauty Home;4.7;https://www.wildberries.ru/catalog/25993220/detail.aspx
My Beauty Home;Заварочный чайник с колбой 950 мл;25993189;445.0;834.0;46;4.7;132296;My Beauty Home;4.7;https://www.wildberries.ru/catalog/25993189/detail.aspx
Kitchen Home;Заварочный чайник «Бочонок» 1500мл;17902727;445.0;1316.0;66;4.8;211706;Kitchen Home;4.7;https://www.wildberries.ru/catalog/17902727/detail.aspx
Kitchen Home;Чайник заварочный 900мл с подставкой;76172534;682.0;1420.0;51;4.8;211706;Kitchen Home;4.7;https://www.wildberries.ru/catalog/76172534/detail.aspx
Kitchen Home;Заварочный чайник с колбой 950 мл;17902722;445.0;2778.0;83;4.8;211706;Kitchen Home;4.7;https://www.wildberries.ru/catalog/17902722/detail.aspx
MARWA;Чайник электрический металлический 2 литра электрочайник;168578670;624.0;3200.0;80;4.1;1999;ИП Жарнаков;4.3;https://www.wildberries.ru/catalog/168578670/detail.aspx
My Beauty Home;Чайник заварочный 900мл с подставкой;48418698;665.0;1100.0;39;4.7;132296;My Beauty Home;4.7;https://www.wildberries.ru/catalog/48418698/detail.aspx
Электрочайник стеклянный;Чайник электрический стеклянный;183398461;984.0;5180.0;81;4.7;236;ROX Company;4.7;https://www.wildberries.ru/catalog/183398461/detail.aspx
ИП Загребельная М. Г.;Чайник электрический с заварником;200528880;1447.0;3200.0;54;4.3;8;О'Марчик;4.6;https://www.wildberries.ru/catalog/200528880/detail.aspx
My Beauty Home;Заварочный чайник с колбой 750 мл;25989141;445.0;863.0;48;4.7;132296;My Beauty Home;4.7;https://www.wildberries.ru/catalog/25989141/detail.aspx
HeatPro;Чайник стеклянный заварочный Бочонок 900 мл с крышкой;167648411;252.0;252.0;0;4.8;12890;Benny Lava Unlimited;4.8;https://www.wildberries.ru/catalog/167648411/detail.aspx
MARWA;Чайник электрический стеклянный 1.8 л;194893446;865.0;3000.0;71;4.1;1999;ИП Жарнаков;4.3;https://www.wildberries.ru/catalog/194893446/detail.aspx
